Date,SIE,DTE,ALV,MRK,DHL
2020-10-09,0.0,0.0,0.0,0.48503,0.51497
2020-10-12,0.0,0.0,0.0,0.47225,0.52775
2020-10-13,0.0,0.0,0.0,0.50561,0.49439
2020-10-14,0.0,0.0,0.0,0.42425,0.57575
2020-10-15,0.0,0.0,0.0,0.26081,0.73919
2020-10-16,0.0,0.0,0.0,0.18822,0.81178
2020-10-19,0.0,0.0,0.0,0.35104,0.64896
2020-10-20,0.0,0.0,0.0,0.37913,0.62087
2020-10-21,0.0,0.0,0.0,0.52235,0.47765
2020-10-22,0.0,0.0,0.0,0.49422,0.50578
2020-10-23,0.0,0.0,0.0,0.6037,0.3963
2020-10-26,0.0,0.0,0.0,0.80791,0.19209
2020-10-27,0.0,0.0,0.0,0.88579,0.11421
2020-10-28,0.0,0.0,0.0,0.97353,0.02647
2020-10-29,0.0,0.0,0.0,1.0,0.0
2020-10-30,0.0,0.0,0.0,1.0,0.0
2020-11-02,0.0,0.0,0.0,0.96195,0.03805
2020-11-03,0.0,0.0,0.0,0.94383,0.05617
2020-11-04,0.0,0.0,0.0,0.92323,0.07677
2020-11-05,0.0,0.0,0.0,1.0,0.0
2020-11-06,0.0,0.0,0.0,0.8152,0.1848
2020-11-09,0.0,0.0,0.0,0.81596,0.18404
2020-11-10,0.0,0.0,0.0,1.0,0.0
2020-11-11,0.0,0.0,0.0,1.0,0.0
2020-11-12,0.0,0.0,0.0,1.0,0.0
2020-11-13,0.0,0.0,0.0,1.0,0.0
2020-11-16,0.0,0.0,0.0,1.0,0.0
2020-11-17,0.0,0.0,0.0,1.0,0.0
2020-11-18,0.0,0.0,0.0,1.0,0.0
2020-11-19,0.0,0.0,0.0,1.0,0.0
2020-11-20,0.0,0.0,0.0,1.0,0.0
2020-11-23,0.0,0.0,0.0,1.0,0.0
2020-11-24,0.0,0.0,0.0,1.0,0.0
2020-11-25,0.0,0.0,0.0,1.0,0.0
2020-11-26,0.0,0.0,0.0,1.0,0.0
2020-11-27,0.0,0.0,0.0,1.0,0.0
2020-11-30,0.0,0.0,0.0,1.0,0.0
2020-12-01,0.0,0.0,0.0,1.0,0.0
2020-12-02,0.0,0.0,0.0,1.0,0.0
2020-12-03,0.0,0.0,0.0,1.0,0.0
2020-12-04,0.0,0.0,0.0,1.0,0.0
2020-12-07,0.0,0.0,0.0,1.0,0.0
2020-12-08,0.0,0.0,0.0,1.0,0.0
2020-12-09,0.0,0.0,0.0,1.0,0.0
2020-12-10,0.0,0.0,0.0,1.0,0.0
2020-12-11,0.0,0.0,0.0,1.0,0.0
2020-12-14,0.0,0.0,0.0,1.0,0.0
2020-12-15,0.0,0.0,0.0,1.0,0.0
2020-12-16,0.0,0.0,0.0,1.0,0.0
2020-12-17,0.0,0.0,0.0,1.0,0.0
2020-12-18,0.0,0.0,0.0,1.0,0.0
2020-12-21,0.0,0.0,0.0,1.0,0.0
2020-12-22,0.0,0.0,0.0,1.0,0.0
2020-12-23,0.0,0.0,0.0,1.0,0.0
2020-12-28,0.0,0.0,0.0,1.0,0.0
2020-12-29,0.0,0.0,0.0,1.0,0.0
2020-12-30,0.0,0.0,0.0,1.0,0.0
2020-12-31,0.0,0.0,0.0,1.0,0.0
2021-01-04,0.0,0.0,0.0,1.0,0.0
2021-01-05,0.0,0.0,0.0,1.0,0.0
2021-01-06,0.0,0.0,0.0,1.0,0.0
2021-01-07,0.0,0.0,0.0,1.0,0.0
2021-01-08,0.0,0.0,0.0,1.0,0.0
2021-01-11,0.0,0.0,0.0,1.0,0.0
2021-01-12,0.0,0.0,0.0,1.0,0.0
2021-01-13,0.0,0.0,0.0,1.0,0.0
2021-01-14,0.0,0.0,0.0,1.0,0.0
2021-01-15,0.0,0.0,0.0,0.94998,0.05002
2021-01-18,0.0,0.0,0.0,0.94162,0.05838
2021-01-19,0.0,0.0,0.0,0.87933,0.12067
2021-01-20,0.0,0.0,0.0,0.78375,0.21625
2021-01-21,0.0,0.0,0.0,0.40282,0.59718
2021-01-22,0.0,0.0,0.0,0.30653,0.69347
2021-01-25,0.0,0.0,0.0,0.29123,0.70877
2021-01-26,0.0,0.0,0.0,0.51138,0.48862
2021-01-27,0.0,0.0,0.0,0.35301,0.64699
2021-01-28,0.0,0.0,0.0,0.32672,0.67328
2021-01-29,0.0,0.0,0.0,0.27003,0.72997
2021-02-01,0.0,0.0,0.0,0.38982,0.61018
2021-02-02,0.0,0.0,0.0,0.33546,0.66454
2021-02-03,0.06601,0.0,0.0,0.47264,0.46135
2021-02-04,0.23027,0.0,0.0,0.40886,0.36088
2021-02-05,0.39148,0.0,0.0,0.371,0.23752
